class1,class2,class3,distance_score,semantic_score
Sealyham_terrier,Bouvier_des_Flandres,triumphal_arch,0.0849002849002849,0.05613992974759582
space_shuttle,golf_ball,cradle,0.12169312169312169,0.12362922489551875
French_bulldog,rugby_ball,canoe,0.06851851851851852,0.17265715710376048
pillow,gorilla,indigo_bunting,0.06425070028011204,0.15319964261662358
police_van,American_chameleon,nematode,0.06448412698412698,0.10396743187512487
poncho,lawn_mower,hippopotamus,0.06590413943355121,0.15698715940344674
shovel,sandbar,echidna,0.07083333333333332,0.17828507115947992
library,sports_car,breakwater,0.10317460317460315,0.11817270528183699
soap_dispenser,totem_pole,toaster,0.09974747474747474,0.2651562281585651
mongoose,long-horned_beetle,nematode,0.10356310356310357,0.4123633878382999
Labrador_retriever,abacus,shower_curtain,0.08148148148148147,0.100444786437071
missile,chow,triceratops,0.04842105263157895,0.10726102924217833
junco,moped,pizza,0.05272904483430799,0.1556080196469585
chiton,barbershop,radiator,0.08744588744588744,0.1527780968531978
starfish,prison,organ,0.07326007326007326,0.07797283563388198
dough,holster,water_tower,0.07494588744588744,0.12482016764708563
coyote,fireboat,pencil_box,0.0696078431372549,0.08316807959224252
Airedale,trench_coat,jackfruit,0.06193588546529722,0.024123341627330947
lorikeet,go-kart,schipperke,0.068218954248366,0.2163227370714608
platypus,volleyball,diaper,0.05589225589225589,0.08147765739600339
hair_slide,crate,head_cabbage,0.08167989417989417,0.16570263832320484
banana,wombat,wok,0.06851851851851852,0.15806390648026278
electric_fan,quail,washbasin,0.08148148148148147,0.0976808232356176
overskirt,iron,Gila_monster,0.05987190197716513,0.17674475054383854
hog,Model_T,pug,0.0763888888888889,0.15838463645889003
dogsled,manhole_cover,pick,0.07886710239651416,0.05257677296728199
notebook,limousine,tub,0.10648148148148147,0.13404330158558433
mousetrap,pelican,minibus,0.0821078431372549,0.11883075617419192
maypole,macaw,letter_opener,0.06193588546529722,0.07679594435158706
starfish,capuchin,analog_clock,0.06984126984126984,0.1593536896140868
oxygen_mask,clumber,book_jacket,0.08148148148148147,0.10178679226796523
miniature_poodle,trolleybus,Boston_bull,0.10158730158730157,0.1563535659913584
hamster,monarch,Angora,0.07165641376167692,0.1516750148390452
hen-of-the-woods,lumbermill,ruddy_turnstone,0.07348791559317876,0.170323484563475
centipede,Saluki,chickadee,0.09298109298109299,0.25207505411171705
robin,centipede,green_snake,0.0909090909090909,0.3672044331829778
projectile,barrow,flagpole,0.1111111111111111,0.11610343940169159
gas_pump,trolleybus,diaper,0.09696969696969697,0.18099912640792168
gazelle,lumbermill,zucchini,0.055043859649122805,0.09508203871255017
Pomeranian,obelisk,ballpoint,0.08862433862433862,0.15554602772778967
desktop_computer,prayer_rug,sports_car,0.09230769230769231,0.15673585062976422
pop_bottle,sea_urchin,trombone,0.08278388278388278,0.1538614372282003
Appenzeller,china_cabinet,stingray,0.06455026455026455,0.02416128504222126
water_buffalo,American_chameleon,Australian_terrier,0.07167277167277167,0.24645576443494085
maillot,spaghetti_squash,dome,0.061574074074074066,0.15723261374363287
broccoli,limousine,coffee_mug,0.07638888888888888,0.18018230193308812
oil_filter,mask,marmot,0.09548229548229548,0.1535536887122091
odometer,Windsor_tie,Scotch_terrier,0.0673076923076923,0.10096151552922801
ladle,admiral,park_bench,0.07418873982341474,0.07866208830231229
quill,sea_slug,odometer,0.07936507936507936,0.09644395193737816
long-horned_beetle,Ibizan_hound,hamster,0.09511784511784512,0.2888075010963826
cock,mask,howler_monkey,0.06373626373626373,0.22443172455591776
web_site,maillot,red_wine,0.07196969696969698,0.09042310751955951
swimming_trunks,typewriter_keyboard,bib,0.11203703703703705,0.17286230506150416
kit_fox,rock_crab,buckeye,0.05937392500859993,0.2126315836605853
tailed_frog,whippet,Appenzeller,0.109006734006734,0.09854168132436698
saltshaker,plane,burrito,0.07675070028011205,0.18728832893337785
mosquito_net,chain,dining_table,0.0763888888888889,0.08236915034106755
aircraft_carrier,Newfoundland,submarine,0.12936507936507935,0.1426524464960507
burrito,hair_slide,tennis_ball,0.07638888888888888,0.14159934582555253
ram,Norfolk_terrier,handkerchief,0.08351139601139601,0.13644091314108645
axolotl,cardigan,West_Highland_white_terrier,0.07083333333333332,0.17958641683522994
bottlecap,lighter,bathing_cap,0.09508547008547008,0.11543296003074799
hare,beagle,spatula,0.07048503611971103,0.1964378718354234
rock_python,tennis_ball,car_wheel,0.06371990582516898,0.20433380303174944
American_Staffordshire_terrier,Model_T,rifle,0.06267806267806268,0.17030727253784503
lotion,ladybug,red-backed_sandpiper,0.07028388278388278,0.19812351374196643
lens_cap,platypus,saltshaker,0.08148148148148147,0.16123922407686384
web_site,book_jacket,jean,0.1053030303030303,0.1891628223613735
butcher_shop,cheetah,plate_rack,0.06939571150097466,0.1363793074985795
lemon,macaw,apiary,0.06405228758169934,0.1453936195154406
vacuum,cock,tench,0.05120772946859903,0.10901812576977299
maze,stethoscope,banded_gecko,0.08697089947089946,0.12329842521141132
